Standard Name,Date,Development,Comment
IAS 24,12-Dec-2013,Amended by Annual Improvements to IFRSs 2010-2012 Cycle (entities providing key management personnel services),Effective for annual periods beginning on or after 1 July 2014
IAS 26,Jul-1985,Exposure Draft E27 Accounting and Reporting by Retirement Benefit Plans,
IAS 26,Jan-1987,IAS 26 Accounting and Reporting by Retirement Benefit Plans,
IAS 26,01-Jan-1988,Effective date of IAS 26 (1987),
IAS 26,1994,IAS 26 was reformatted,
IAS 27,Sep-1987,Exposure Draft E30 Consolidated Financial Statements and Accounting for Investments in Subsidiaries,
IAS 27,Apr-1989,IAS 27 Consolidated Financial Statements and Accounting for Investments in Subsidiaries,
IAS 27,01-Jan-1990,Effective date of IAS 27 (1989),
IAS 27,1994,IAS 27 was reformatted,
IAS 27,Dec-1998,IAS 27 was amended by IAS 39 Financial Instruments: Recognition and Measurement effective 1 January 2001,
IAS 27,18-Dec-2003,Revised version of IAS 27 issued by the IASB,
IAS 27,01-Jan-2005,Effective date of IAS 27 (2003),
IAS 27,25-Jun-2005,Exposure Draft of Proposed Amendments to IFRS 3 and IAS 27,
IAS 27,10-Jan-2008,Revised IAS 27 (2008) issued,
IAS 27,22-May-2008,IAS 27 amended for Cost of a Subsidiary in the Separate Financial Statements of a Parent on First-time Adoption of IFRSs,
IAS 27,22-May-2008,IAS 27 amended for Annual Improvements to IFRSs 2007 relating to measurement of investments held for sale under IFRS 5 in separate financial statements,
IAS 27,01-Jan-2009,Effective date of the two May 2008 amendments,
IAS 27,01-Jul-2009,Effective date of IAS 27 (2008). Deloitte has published a Special Edition of our IAS Plus Newsletter dealing with the January 2008 revisions to IFRS 3 and IAS 27 (PDF 123k).,
IAS 27,06-May-2010,IAS 27 amended for Annual Improvements to IFRSs 2010,
IAS 27,01-Jul-2010,Effective date of May 2010 amendment to IAS 27,
IAS 27,12-May-2011,IAS 27 (2008) is superseded by IAS 27 Separate Financial Statements (2011) and IFRS 10 Consolidated Financial Statements effective 1 January 2013,
IAS 28,Jul-1986,Exposure Draft E28 Accounting for Investments in Associates and Joint Ventures,
IAS 28,Apr-1989,IAS 28 Accounting for Investments in Associates issued,Effective 1 January 1990
IAS 28,1994,IAS 28 was reformatted,
IAS 28,Dec-1998,Amended by IAS 39 Financial Instruments: Recognition and Measurement,Effective 1 January 2001
IAS 28,18-Dec-2003,IAS 28 Investments in Associates issued,Effective for annual periods beginning on or after 1 January 2005
IAS 28,10-Jan-2008,Amended by IFRS 3 Business Combinations (loss of significant influence),Effective for annual periods beginning on or after 1 July 2009
IAS 28,22-May-2008,Amended by Improvements to IFRSs (impairment testing),Effective for annual periods beginning on or after 1 January 2009
IAS 28,12-May-2011,Superseded by IAS 28 Investments in Associates and Joint Ventures (2011),Effective for annual periods beginning on or after 1 January 2013
IAS 29,Nov-1987,Exposure Draft E31 Financial Reporting in Hyperinflationary Economies,
IAS 29,Jul-1989,IAS 29 Financial Reporting in Hyperinflationary Economies,
IAS 29,01-Jan-1990,Effective date of IAS 29 (1989),
IAS 29,1994,IAS 29 was reformatted,
IAS 29,22-May-2008,IAS 29 amended for Annual Improvements to IFRSs 2007,
IAS 29,01-Jan-2009,Effective date of the May 2008 revisions to IAS 29,
IAS 30,Apr-1987,Exposure Draft E29 Disclosures in Financial Statements of Banks,
IAS 30,Jul-1989,Exposure Draft E29 was modified and re-exposed as Exposure Draft E34 Disclosures in Financial Statements of Banks and Similar Financial Institutions,
IAS 30,Aug-1990,IAS 30 Disclosures in Financial Statements of Banks and Similar Financial Institutions,
IAS 30,01-Jan-1991,Effective date of IAS 30 (1990),
IAS 30,1994,IAS 30 was reformatted,
IAS 30,Dec-1998,"IAS 30 was amended by IAS 39 Financial Instruments: Recognition and Measurement, effective 1 January 2001",
IAS 30,18-Aug-2005,IAS 30 is superseded by IFRS 7 Financial Instruments: Disclosures effective 1 January 2007,
IAS 31,Dec-1989,Exposure Draft E35 Financial Reporting of Interests in Joint Ventures,
IAS 31,Dec-1990,IAS 31 Financial Reporting of Interests in Joint Ventures,
IAS 31,01-Jan-1992,Effective date of IAS 31 (1990),
IAS 31,1994,IAS 31 was reformatted,
IAS 31,Dec-1998,IAS 31 was revised by IAS 39 effective 1 January 2001,
IAS 31,18-Dec-2003,Revised version of IAS 31 issued by the IASB,
IAS 31,01-Jan-2005,Effective date of IAS 31 (Revised 2003),
IAS 31,13-Sep-2007,Exposure Draft ED 9 Joint Arrangements issued. Proposes to replace IAS 31 with a new standard titled Joint Arrangements.,
IAS 31,10-Jan-2008,Some significant revisions of IAS 31 were adopted as a result of the Business Combinations Phase II Project relating to loss of joint control,
IAS 31,22-May-2008,IAS 31 amended for Annual Improvements to IFRSs 2007 for certain disclosures and reversals of impairment losses (equity method),
IAS 31,01-Jan-2009,Effective date of the May 2008 revisions to IAS 31,
IAS 31,01-Jul-2009,Effective date of the January 2008 revisions to IAS 31,
IAS 31,12-May-2011,IAS 31 is superseded by IFRS 11 Joint Arrangements and IFRS 12 Disclosure of Interests in Other Entities effective 1 January 2013,
IAS 32,Sep-1991,Exposure Draft E40 Financial Instruments,
IAS 32,Jan-1994,E40 was modified and re-exposed as Exposure Draft E48 Financial Instruments,
IAS 32,Jun-1995,The disclosure and presentation portion of E48 was adopted as IAS 32 Financial Instruments: Disclosure and Presentation,
IAS 32,01-Jan-1996,Effective date of IAS 32 (1995),
IAS 32,Dec-1998,"IAS 32 was revised by IAS 39, effective 1 January 2001",
